item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item0894	Volume was a very modest three hundred fifty two point two million shares down from three hundred sixty six point four million shares a day earlier 
item0895	United presidential is a life insurance company 
item0896	The currency was quoted late in the day in sydney at seventy seven point oh nine U.S. cents 
item0897	But an American spokesman said company officials "double-quote fully expect "double-quote to acquire some braniff assets "double-quote if and when "double-quote the buy -hyphen out is complete .Period 
item0898	At drepung ,comma they set to work crafting tibetan flags ,comma which they used in the initial pro -hyphen independence march september twenty seventh .Period 
item0899	"double-quote this is a year -hyphen end phenomenon ,comma caused mostly by german austerity ,comma "double-quote one french official said .Period 
item0900	"double-quote we hear talk ,comma "double-quote he said ,comma "double-quote that it's time for a change .Period 
item0901	Doctors are nervous Ms. adams says 
item0902	According to the average estimate of thirteen economists surveyed by the dow jones capital markets report durable goods orders surged three point one percent last month 
item0903	But official sources said the signing is likely to take place during the last week in september .Period 
item0904	Diplomats and political analysts say they don't know if the trend presages significant popular resistance to the communists ,comma or just additional turmoil in the philippine countryside .Period 
item0905	The company then accepts the shares tendered at the lowest price needed to reach its goal then pays that amount for all shares it purchases 
item0906	After naming four communists to his original cabinet ,comma he broke with the communists in nineteen eighty four and destroyed them as a political force .Period 
item0907	But others say it might encourage Japan to transfer military technology to the U.S. .Period 
item0908	But there is a need for clarity 
item0909	The report it seems fails to mention anything about New York's credit conditions or factors tied to that market 
item0910	The logic apparently is that we'll have to raise our rates to defend the dollar said peter canelo a portfolio strategist at bear stearns 
item0911	Agfa gevaert is a ridgefield park n. j. maker of photographic equipment and supplies that is owned by bayer a. g. of west germany 
item0912	And fees were higher than expected .Period 
item0913	Bancorp hawaii also declared a three -hyphen for -hyphen two stock split ,comma payable november sixteenth to stock of record october twenty fourth .Period 
item0914	The panel made several other recommendations concerning program trading including consolidating regulatory authority over all U.S. financial markets under one government agency 
item0915	"double-quote it is due to education ,comma "double-quote he says ,comma blowing smoke .Period 
item0916	Basic engineering ,comma design and site preparation studies are to start this winter .Period 
item0917	U.S. f. and g. had no comment 
item0918	We just received the suit and the document is massive it's two hundred pages 
item0919	So we went into the Home of the Street Sweepers. 
item0920	It is a grey house on a narrow street. 
item0921	There is a sundial in its courtyard, by which the Council of the Home can tell the hours of the day and when to ring the bell. 
item0922	When the bell rings, we all arise from our beds. 
item0923	The sky is green and cold in our windows to the east. 
item0924	The shadow on the sundial marks off a half-hour while we dress and eat our breakfast in the dining hall, where there are five long tables with twenty clay plates and twenty clay cups on each table. 
item0925	Then we go to work in the streets of the City, with our brooms and our rakes. 
item0926	In five hours, when the sun is high, we return to the Home and we eat our midday meal, for which one-half hour is allowed. 
item0927	Then we go to work again. 
item0928	In five hours, the shadows are blue on the pavements, and the sky is blue with a deep brightness which is not bright. 
item0929	We come back to have our dinner, which lasts one hour. 
item0930	Then the bell rings and we walk in a straight column to one of the City Halls, for the Social Meeting. 
item0931	Other columns of men arrive from the Homes of the different Trades. 
item0932	The candles are lit, and the Councils of the different Homes stand in a pulpit, and they speak to us of our duties and of our brother men. 
item0933	Then visiting Leaders mount the pulpit and they read to us the speeches which were made in the City Council that day, for the City Council represents all men and all men must know. 
item0934	Then we sing hymns, the Hymn of Brotherhood, and the Hymn of Equality, and the Hymn of the Collective Spirit. 
item0935	The sky is a soggy purple when we return to the Home. 
item0936	Then the bell rings and we walk in a straight column to the City Theatre for three hours of Social Recreation. 
item0937	There a play is shown upon the stage, with two great choruses from the Home of the Actors, which speak and answer all together, in two great voices. 
item0938	The plays are about toil and how good it is. 
item0939	Then we walk back to the Home in a straight column. 
item0940	The sky is like a black sieve pierced by silver drops that tremble, ready to burst through. 
item0941	The moths beat against the street lanterns. 
item0942	We go to our beds and we sleep, till the bell rings again. 
item0943	The sleeping halls are white and clean and bare of all things save one hundred beds.
